date,y_true,q10,q50,q90,evaluation_fold,lower,upper,alpha_t,method
2023-01-01,12.68,13.127110447887755,13.998906871626577,14.728589266326765,1.0,12.445074816490507,15.410624897724013,0.14000000000000007,Two-sided ACI
2023-01-02,13.33,12.048543232735703,13.711981051776906,15.580247585901054,1.0,11.366507601338455,16.262283217298304,0.14400000000000007,Two-sided ACI
2023-01-03,14.08,12.399835312053211,13.146411277216377,13.462750476295161,1.0,11.727617174328111,14.134968614020261,0.14800000000000008,Two-sided ACI
2023-01-04,13.92,14.32474423670923,14.351544803985579,15.089904152081264,1.0,13.707494713004392,15.707153675786103,0.15200000000000008,Two-sided ACI
2023-01-05,15.98,13.923584549447654,14.080632393046486,14.874583566509333,1.0,13.347704934092224,15.450463181864762,0.15600000000000008,Two-sided ACI
2023-01-06,14.44,14.949403633652384,15.325748643008904,16.30128249577338,1.0,14.267368002255136,16.983318127170627,0.14000000000000007,Two-sided ACI
2023-01-07,14.65,14.599951326435058,15.310432376244346,16.01581555617938,1.0,13.91791569503781,16.697851187576628,0.14400000000000007,Two-sided ACI
2023-01-08,14.33,13.92194877372664,14.240481188551787,14.915768119234992,1.0,13.24973063600154,15.587986256960091,0.14800000000000008,Two-sided ACI
2023-01-09,14.04,14.567442428842504,14.831652534283952,16.194550743201063,1.0,13.950192905137666,16.8118002669059,0.15200000000000008,Two-sided ACI
2023-01-10,14.32,13.342536804258662,14.086375254717955,15.196928095370737,1.0,12.725287280553824,15.814177619075576,0.15600000000000008,Two-sided ACI
2023-01-11,13.96,13.619091760635698,14.260902610817677,15.330443134540952,1.0,13.043212145280268,15.90632274989638,0.1600000000000001,Two-sided ACI
2023-01-12,14.13,13.219510846711195,14.2891605792715,14.644446914026291,1.0,12.662821917764203,15.201135842973283,0.1640000000000001,Two-sided ACI
2023-01-13,14.35,14.564573961630124,14.40370986477973,14.985274870176221,1.0,14.05517032797774,15.494678503828606,0.1680000000000001,Two-sided ACI
2023-01-14,14.23,14.106571737851954,14.645260666066605,14.896831380945414,1.0,13.59716810419957,15.406235014597799,0.1720000000000001,Two-sided ACI
2023-01-15,13.8,13.44558170769719,14.426289763929885,14.50227506364078,1.0,12.941381556283414,15.006475215054557,0.1760000000000001,Two-sided ACI
2023-01-16,14.35,12.570122943135832,14.142530282636836,15.778563308069604,1.0,12.123012495248076,16.22567375595736,0.1800000000000001,Two-sided ACI
2023-01-17,14.69,13.159095307883302,14.161144231654813,14.266592231117881,1.0,12.711984859995546,14.713702679005637,0.1840000000000001,Two-sided ACI
2023-01-18,14.29,14.201239141778835,14.4588501306247,14.940521612954743,1.0,13.760760967766252,15.380999786967326,0.1880000000000001,Two-sided ACI
2023-01-19,14.66,13.380069786292378,14.184455892442138,14.543583408220606,1.0,12.940689850072754,14.982963344440229,0.19200000000000012,Two-sided ACI
2023-01-20,14.07,14.679054394495001,15.121271212906525,15.640714822506178,1.0,14.255646625612883,16.064122591388298,0.19600000000000012,Two-sided ACI
2023-01-21,14.11,13.295604334113635,14.235662205810586,14.562328992734212,1.0,12.84849388622588,15.009439440621968,0.1800000000000001,Two-sided ACI
2023-01-22,14.43,13.194874950196727,14.069827175508971,14.490989036952362,1.0,12.747764502308971,14.938099484840118,0.1840000000000001,Two-sided ACI
2023-01-23,14.31,14.015744995496501,14.78647152064832,15.700440913971644,1.0,13.575266821483918,16.140919087984226,0.1880000000000001,Two-sided ACI
2023-01-24,14.57,13.380950255250866,14.121596513011182,14.460146860349592,1.0,12.941570319031243,14.899526796569216,0.19200000000000012,Two-sided ACI
2023-01-25,14.16,14.371972997585498,14.635066574933965,15.254161564414911,1.0,13.951965680913561,15.674168881086848,0.19600000000000012,Two-sided ACI
2023-01-26,14.35,12.947452120658262,14.338594365958535,14.723080206112401,1.0,12.527444803986326,15.143087522784338,0.20000000000000012,Two-sided ACI
2023-01-27,14.46,13.353059450723425,14.270465980198521,14.939801612376119,1.0,13.031859678006745,15.261001385092799,0.20400000000000013,Two-sided ACI
2023-01-28,14.24,13.354557366127949,14.490853874364456,14.500815561229286,1.0,13.03380874029294,14.821564187064295,0.20800000000000013,Two-sided ACI
2023-01-29,14.65,13.331545926752986,14.16899723716754,14.118385498618057,1.0,13.010797300917977,14.439134124453066,0.21200000000000013,Two-sided ACI
2023-01-30,14.61,14.34804621993106,15.040016405243366,15.841712394216973,1.0,13.928038903259123,16.26171971088891,0.19600000000000012,Two-sided ACI
2023-01-31,14.84,13.47577064732764,14.455133455252813,14.593634275721689,1.0,13.055763330655703,15.013641592393626,0.20000000000000012,Two-sided ACI
2023-02-01,14.91,14.271796865247593,14.928295757843404,16.022026082448402,1.0,13.867052628538362,16.426770319157633,0.20400000000000013,Two-sided ACI
2023-02-02,14.48,13.68616040904206,14.810713963753024,15.587368283464295,1.0,13.36496063632538,15.908568056180975,0.20800000000000013,Two-sided ACI
2023-02-03,14.31,14.010238011088866,14.829680935511552,15.689567948613965,1.0,13.689038238372186,16.010767721330645,0.21200000000000013,Two-sided ACI
2023-02-04,14.07,13.462887887875686,14.355573007826639,15.284264957492807,1.0,13.162145499811091,15.585007345557402,0.21600000000000014,Two-sided ACI
