date,y_true,q10,q50,q90,evaluation_fold,lower,upper,method
2023-01-01,12.68,13.127110447887755,13.998906871626577,14.728589266326765,1.0,12.238401012683312,15.278869786529983,Asymmetric PID
2023-01-02,13.33,12.048543232735703,13.711981051776906,15.580247585901054,1.0,11.158920864138631,16.104362551980255,Asymmetric PID
2023-01-03,14.08,12.399835312053211,13.146411277216377,13.462750476295161,1.0,11.54384806100208,13.960826157903153,Asymmetric PID
2023-01-04,13.92,14.32474423670923,14.351544803985579,15.089904152081264,1.0,13.536942146682113,15.83389344004161,Asymmetric PID
2023-01-05,15.98,13.923584549447654,14.080632393046486,14.874583566509333,1.0,13.162352480579328,15.592126867676887,Asymmetric PID
2023-01-06,14.44,14.949403633652384,15.325748643008904,16.30128249577338,1.0,14.221329193009373,17.25099442263761,Asymmetric PID
2023-01-07,14.65,14.599951326435058,15.310432376244346,16.01581555617938,1.0,13.904879180892818,16.938646553481874,Asymmetric PID
2023-01-08,14.33,13.92194877372664,14.240481188551787,14.915768119234992,1.0,13.266470285290001,15.811855391744517,Asymmetric PID
2023-01-09,14.04,14.567442428842504,14.831652534283952,16.194550743201063,1.0,13.944661123189778,17.064029778933346,Asymmetric PID
2023-01-10,14.32,13.342536804258662,14.086375254717955,15.196928095370737,1.0,12.745558007401378,16.039932695393905,Asymmetric PID
2023-01-11,13.96,13.619091760635698,14.260902610817677,15.330443134540952,1.0,13.0545122362221,16.147105442119642,Asymmetric PID
2023-01-12,14.13,13.219510846711195,14.2891605792715,14.644446914026291,1.0,12.693929099993138,15.434897443122216,Asymmetric PID
2023-01-13,14.35,14.564573961630124,14.40370986477973,14.985274870176221,1.0,14.111534280217551,15.749642533322314,Asymmetric PID
2023-01-14,14.23,14.106571737851954,14.645260666066605,14.896831380945414,1.0,13.685497455811992,15.635243516510275,Asymmetric PID
2023-01-15,13.8,13.44558170769719,14.426289763929885,14.50227506364078,1.0,13.056331553328505,15.214857462499515,Asymmetric PID
2023-01-16,14.35,12.570122943135832,14.142530282636836,15.778563308069604,1.0,12.212557276093994,16.4654402396967,Asymmetric PID
2023-01-17,14.69,13.159095307883302,14.161144231654813,14.266592231117881,1.0,12.833076093034164,14.927886469117293,Asymmetric PID
2023-01-18,14.29,14.201239141778835,14.4588501306247,14.940521612954743,1.0,13.906629923589666,15.646771402087985,Asymmetric PID
2023-01-19,14.66,13.380069786292378,14.184455892442138,14.543583408220606,1.0,13.11673566374736,15.224491662716412,Asymmetric PID
2023-01-20,14.07,14.679054394495001,15.121271212906525,15.640714822506178,1.0,14.446861996522067,16.296399976126953,Asymmetric PID
2023-01-21,14.11,13.295604334113635,14.235662205810586,14.562328992734212,1.0,12.741221802457154,15.19290808015123,Asymmetric PID
2023-01-22,14.43,13.194874950196727,14.069827175508971,14.490989036952362,1.0,12.67204170272717,15.096577716673425,Asymmetric PID
2023-01-23,14.31,14.015744995496501,14.78647152064832,15.700440913971644,1.0,13.524323144623446,16.281153490787638,Asymmetric PID
2023-01-24,14.57,13.380950255250866,14.121596513011182,14.460146860349592,1.0,12.920803484083391,15.016096307312194,Asymmetric PID
2023-01-25,14.16,14.371972997585498,14.635066574933965,15.254161564414911,1.0,13.98340027129056,15.785459544357263,Asymmetric PID
2023-01-26,14.35,12.947452120658262,14.338594365958535,14.723080206112401,1.0,12.589886453616424,15.229837092724296,Asymmetric PID
2023-01-27,14.46,13.353059450723425,14.270465980198521,14.939801612376119,1.0,13.02636909123393,15.422126510844848,Asymmetric PID
2023-01-28,14.24,13.354557366127949,14.490853874364456,14.500815561229286,1.0,13.058612036886762,14.958816328456987,Asymmetric PID
2023-01-29,14.65,13.331545926752986,14.16899723716754,14.118385498618057,1.0,13.066216801974349,14.5521687630261,Asymmetric PID
2023-01-30,14.61,14.34804621993106,15.040016405243366,15.841712394216973,1.0,14.113205902924774,16.497706638866763,Asymmetric PID
2023-01-31,14.84,13.47577064732764,14.455133455252813,14.593634275721689,1.0,13.271293148521078,15.225073800314219,Asymmetric PID
2023-02-01,14.91,14.271796865247593,14.928295757843404,16.022026082448402,1.0,14.097557580641757,16.629021113077776,Asymmetric PID
2023-02-02,14.48,13.68616040904206,14.810713963753024,15.587368283464295,1.0,13.542036099091272,16.170027785290866,Asymmetric PID
2023-02-03,14.31,14.010238011088866,14.829680935511552,15.689567948613965,1.0,13.896106779993998,16.247999645859057,Asymmetric PID
2023-02-04,14.07,13.462887887875686,14.355573007826639,15.284264957492807,1.0,13.37862916328112,15.81857535302732,Asymmetric PID
2023-02-05,14.47,13.400185913961254,14.395634974665269,15.212445260582097,1.0,13.34884016977965,15.722739655118954,Asymmetric PID
2023-02-06,14.16,14.186578129412172,14.846687405557775,16.072978388271885,1.0,14.164867638099569,16.55936089917202,Asymmetric PID
2023-02-07,14.21,13.529107056899413,14.351908201992977,15.003187827273214,1.0,13.235045154396127,15.465761406974554,Asymmetric PID
2023-02-08,14.16,14.059166490220232,14.349592440786003,15.237816909247503,1.0,13.795091175502602,15.676683363326076,Asymmetric PID
2023-02-09,14.42,13.308599566850187,14.055830833167374,14.75514905597204,1.0,13.074389014183307,15.170409060844111,Asymmetric PID
2023-02-10,14.18,13.977747615519188,14.363992104685257,14.999449054026915,1.0,13.806487467781377,15.391202174300792,Asymmetric PID
2023-02-11,13.98,14.046465060241223,14.18820779161678,14.499643170688415,1.0,13.904829954428957,14.867987876174334,Asymmetric PID
2023-02-12,13.96,13.865876237257487,14.27333418001292,14.896346264344405,1.0,13.75374823991871,15.241379946730639,Asymmetric PID
2023-02-13,14.03,13.989089609103294,14.536339212699723,15.450426981216083,1.0,13.906352045775083,15.772245970419238,Asymmetric PID
2023-02-14,13.83,13.849735952294452,13.982353123413144,14.479295932273912,1.0,13.79627338889401,14.777995512471096,Asymmetric PID
2023-02-15,13.83,13.507456828763802,13.991753824037547,14.771979210441675,1.0,13.483606200214572,15.047653635792065,Asymmetric PID
2023-02-16,14.23,13.349691954174688,13.823414983439594,13.795556190954612,1.0,13.35488910585109,14.03977140109148,Asymmetric PID
