date,y_true,q10,q50,q90,evaluation_fold,lower,upper,method
2023-01-01,12.68,13.127110447887755,13.998906871626577,14.728589266326765,1.0,12.82636805982316,15.02933165439136,Trailing CQR
2023-01-02,13.33,12.048543232735703,13.711981051776906,15.580247585901054,1.0,11.746508754933744,15.882282063703013,Trailing CQR
2023-01-03,14.08,12.399835312053211,13.146411277216377,13.462750476295161,1.0,12.097800834251252,13.76478495409712,Trailing CQR
2023-01-04,13.92,14.32474423670923,14.351544803985579,15.089904152081264,1.0,14.022709758907272,15.391938629883223,Trailing CQR
2023-01-05,15.98,13.923584549447654,14.080632393046486,14.874583566509333,1.0,13.602835923612645,15.195332192344342,Trailing CQR
2023-01-06,14.44,14.949403633652384,15.325748643008904,16.30128249577338,1.0,14.628203860935704,16.62248226849006,Trailing CQR
2023-01-07,14.65,14.599951326435058,15.310432376244346,16.01581555617938,1.0,14.278751553718378,16.337015328896058,Trailing CQR
2023-01-08,14.33,13.92194877372664,14.240481188551787,14.915768119234992,1.0,13.601200147891632,15.23651674507,Trailing CQR
2023-01-09,14.04,14.567442428842504,14.831652534283952,16.194550743201063,1.0,14.246693803007496,16.51529936903607,Trailing CQR
2023-01-10,14.32,13.342536804258662,14.086375254717955,15.196928095370737,1.0,13.021337031541982,15.518127868087417,Trailing CQR
2023-01-11,13.96,13.619091760635698,14.260902610817677,15.330443134540952,1.0,13.297891987919018,15.651642907257632,Trailing CQR
2023-01-12,14.13,13.219510846711195,14.2891605792715,14.644446914026291,1.0,12.898762220876186,14.9651955398613,Trailing CQR
2023-01-13,14.35,14.564573961630124,14.40370986477973,14.985274870176221,1.0,14.262539483828165,15.28730934797818,Trailing CQR
2023-01-14,14.23,14.106571737851954,14.645260666066605,14.896831380945414,1.0,13.804537260049996,15.198865858747373,Trailing CQR
2023-01-15,13.8,13.44558170769719,14.426289763929885,14.50227506364078,1.0,13.143547229895232,14.80430954144274,Trailing CQR
2023-01-16,14.35,12.570122943135832,14.142530282636836,15.778563308069604,1.0,12.268088465333873,16.08059778587156,Trailing CQR
2023-01-17,14.69,13.159095307883302,14.161144231654813,14.266592231117881,1.0,12.857060830081343,14.56862670891984,Trailing CQR
2023-01-18,14.29,14.201239141778835,14.4588501306247,14.940521612954743,1.0,13.880490515943826,15.261270238789752,Trailing CQR
2023-01-19,14.66,13.380069786292378,14.184455892442138,14.543583408220606,1.0,13.059321160457369,14.864332034055614,Trailing CQR
2023-01-20,14.07,14.679054394495001,15.121271212906525,15.640714822506178,1.0,14.358305768659992,15.961463448341187,Trailing CQR
2023-01-21,14.11,13.295604334113635,14.235662205810586,14.562328992734212,1.0,12.974404561396955,14.883528765450892,Trailing CQR
2023-01-22,14.43,13.194874950196727,14.069827175508971,14.490989036952362,1.0,12.873675177480047,14.812188809669042,Trailing CQR
2023-01-23,14.31,14.015744995496501,14.78647152064832,15.700440913971644,1.0,13.694545222779821,16.021640686688322,Trailing CQR
2023-01-24,14.57,13.380950255250866,14.121596513011182,14.460146860349592,1.0,13.059750482534186,14.781346633066272,Trailing CQR
2023-01-25,14.16,14.371972997585498,14.635066574933965,15.254161564414911,1.0,14.05122437175049,15.57491019024992,Trailing CQR
2023-01-26,14.35,12.947452120658262,14.338594365958535,14.723080206112401,1.0,12.626703494823253,15.04382883194741,Trailing CQR
2023-01-27,14.46,13.353059450723425,14.270465980198521,14.939801612376119,1.0,13.032310824888416,15.260550238211128,Trailing CQR
2023-01-28,14.24,13.354557366127949,14.490853874364456,14.500815561229286,1.0,13.03380874029294,14.821564187064295,Trailing CQR
2023-01-29,14.65,13.331545926752986,14.16899723716754,14.118385498618057,1.0,13.010797300917977,14.439134124453066,Trailing CQR
2023-01-30,14.61,14.34804621993106,15.040016405243366,15.841712394216973,1.0,14.02684644721438,16.16291216693365,Trailing CQR
2023-01-31,14.84,13.47577064732764,14.455133455252813,14.593634275721689,1.0,13.15457087461096,14.914834048438369,Trailing CQR
2023-02-01,14.91,14.271796865247593,14.928295757843404,16.022026082448402,1.0,13.950597092530913,16.34322585516508,Trailing CQR
2023-02-02,14.48,13.68616040904206,14.810713963753024,15.587368283464295,1.0,13.36496063632538,15.908568056180975,Trailing CQR
2023-02-03,14.31,14.010238011088866,14.829680935511552,15.689567948613965,1.0,13.689038238372186,16.010767721330645,Trailing CQR
2023-02-04,14.07,13.462887887875686,14.355573007826639,15.284264957492807,1.0,13.141688115159006,15.605464730209487,Trailing CQR
2023-02-05,14.47,13.400185913961254,14.395634974665269,15.212445260582097,1.0,13.079437288126245,15.533193886417106,Trailing CQR
2023-02-06,14.16,14.186578129412172,14.846687405557775,16.072978388271885,1.0,13.865829503577164,16.393727014106894,Trailing CQR
2023-02-07,14.21,13.529107056899413,14.351908201992977,15.003187827273214,1.0,13.208358431064404,15.323936453108223,Trailing CQR
2023-02-08,14.16,14.059166490220232,14.349592440786003,15.237816909247503,1.0,13.738417864385223,15.558565535082511,Trailing CQR
2023-02-09,14.42,13.308599566850187,14.055830833167374,14.75514905597204,1.0,12.987850941015179,15.07589768180705,Trailing CQR
2023-02-10,14.18,13.977747615519188,14.363992104685257,14.999449054026915,1.0,13.67571313771723,15.301483531828874,Trailing CQR
2023-02-11,13.98,14.046465060241223,14.18820779161678,14.499643170688415,1.0,13.744430582439264,14.801677648490374,Trailing CQR
2023-02-12,13.96,13.865876237257487,14.27333418001292,14.896346264344405,1.0,13.563841759455528,15.198380742146364,Trailing CQR
2023-02-13,14.03,13.989089609103294,14.536339212699723,15.450426981216083,1.0,13.687055131301335,15.752461459018042,Trailing CQR
2023-02-14,13.83,13.849735952294452,13.982353123413144,14.479295932273912,1.0,13.547701474492493,14.78133041007587,Trailing CQR
2023-02-15,13.83,13.507456828763802,13.991753824037547,14.771979210441675,1.0,13.206714440699207,15.07272159850627,Trailing CQR
2023-02-16,14.23,13.349691954174688,13.823414983439594,13.795556190954612,1.0,13.059797150486759,14.08545099464254,Trailing CQR
2023-02-17,14.14,14.285224636091325,14.212178158845997,15.00803500042744,1.0,13.995329832403396,15.29792980411537,Trailing CQR
2023-02-18,13.94,13.559824421221045,13.904126820210603,14.642089314408164,1.0,13.269929617533116,14.931984118096093,Trailing CQR
2023-02-19,13.81,12.979603198639303,14.159301730872368,14.174054755652069,1.0,12.697520208295373,14.456137745996,Trailing CQR
2023-02-20,13.77,12.703644970908456,14.065098434051936,15.868822193158753,1.0,12.421561980564526,16.150905183502683,Trailing CQR
2023-02-21,14.11,12.644666724120938,13.76292843463963,13.885550271382588,1.0,12.362583733777008,14.167633261726518,Trailing CQR
2023-02-22,13.97,13.893431562405304,14.088006431502665,14.937402445537163,1.0,13.611348572061374,15.219485435881094,Trailing CQR
2023-02-23,13.98,13.410353360360851,13.900180936883075,14.229602743443522,1.0,13.12827037001692,14.511685733787452,Trailing CQR
2023-02-24,14.31,14.058355479637715,14.523696552265733,15.0640710260375,1.0,13.776272489293785,15.34615401638143,Trailing CQR
2023-02-25,13.6,13.440036811267671,14.008675578940654,14.731764019599158,1.0,13.16436238591728,15.00743844494955,Trailing CQR
2023-02-26,13.61,13.207858825637633,13.912235797548266,14.513109377854583,1.0,12.940711700213459,14.780256503278757,Trailing CQR
2023-02-27,14.3,13.608727084507615,14.019375869558676,15.034098538402162,1.0,13.341579959083441,15.301245663826336,Trailing CQR
2023-02-28,14.3,13.767474821454304,13.94934719036582,14.310284904381245,1.0,13.50032769603013,14.577432029805419,Trailing CQR
2023-03-01,14.2,13.28361764787659,14.05743670703741,15.279600007736489,1.0,13.016470522452416,15.546747133160663,Trailing CQR
2023-03-02,14.03,12.349251361909172,13.900603516251454,14.561587952264231,1.0,12.082104236484998,14.828735077688405,Trailing CQR
2023-03-03,14.04,13.220714937200865,14.08154631028313,15.496396957261995,1.0,12.953567811776692,15.763544082686169,Trailing CQR
2023-03-04,13.38,12.394053172348109,13.585190223869635,14.477132536977331,1.0,12.126906046923935,14.744279662401505,Trailing CQR
2023-03-05,13.39,12.703701649798216,13.634952957360943,14.171324810154223,1.0,12.457335925519905,14.417690534432534,Trailing CQR
2023-03-06,14.23,13.0429599946291,13.83764985527737,15.34650539786877,1.0,12.79659427035079,15.59287112214708,Trailing CQR
2023-03-07,14.13,12.983432009820245,13.87975364010794,14.383465017997505,1.0,12.737066285541934,14.629830742275816,Trailing CQR
2023-03-08,14.14,13.087376008276287,13.96681837156636,14.8347409089901,1.0,12.848274741920285,15.073842175346101,Trailing CQR
2023-03-09,14.43,13.119550024986157,14.032045229661673,14.767367124202053,1.0,12.880448758630155,15.006468390558055,Trailing CQR
2023-03-10,13.79,13.695190636259495,14.370841167743848,15.40403981689158,1.0,13.456089369903493,15.643141083247581,Trailing CQR
2023-03-11,14.43,12.644625159166399,13.816705016695412,14.361685544321695,1.0,12.405523892810397,14.600786810677697,Trailing CQR
2023-03-12,11.46,13.168756454963255,13.97445624777154,14.69549146632166,1.0,12.929655188607253,14.934592732677661,Trailing CQR
2023-03-13,13.31,12.168321726971353,13.51406967008542,14.953966495723982,1.0,11.921956002693042,15.200332220002293,Trailing CQR
2023-03-14,13.06,11.941535994414217,12.759475360054303,14.144554609099853,1.0,11.702434728058215,14.383655875455855,Trailing CQR
