method,coverage_80,average_width,median_width,lower_miss_rate,upper_miss_rate,crossing_rate,rolling_coverage_mae,rolling_coverage_min,rolling_coverage_max,rolling_coverage_sd
Raw Linear QR,0.7442143727161997,2.5797785550101686,2.1567247271748435,0.13885505481120586,0.11693057247259439,0.0,0.05960837887067399,0.6222222222222222,0.8555555555555555,0.049309356758838116
Trailing CQR (365d),0.8185140073081608,2.970486463259504,2.4991543173827004,0.09987819732034105,0.08160779537149818,0.0,0.049149969641772914,0.6777777777777778,0.9333333333333333,0.06058282197760228
Two-sided ACI (180d),0.8063337393422655,2.8802951903323444,2.4401061817958283,0.09866017052375152,0.09500609013398295,0.0,0.03327261687917425,0.7,0.8666666666666667,0.04036491337390977
Two-sided PID (365d),0.805115712545676,2.9275429348113344,2.486514486768982,0.1023142509135201,0.0925700365408039,0.0,0.03664238008500303,0.6888888888888889,0.8777777777777778,0.04300164370919749
Asymmetric PID (365d),0.8038976857490865,2.9933459441739805,2.5532162437777224,0.09744214372716199,0.09866017052375152,0.0,0.03304493017607771,0.7,0.8666666666666667,0.03957698509245546
