date,y_true,q10,q50,q90,evaluation_fold,lower,upper,alpha_t,method,tmax_f,precipitation_in,prior_day_tmax_f,prior_day_precipitation_in,raw_qr_width,aci_width,aci_one_sided_correction,lower_qr_spread,upper_qr_spread,spread_asymmetry,covered,lower_miss,upper_miss,temperature_group,prior_day_wet,predicted_demand_group,uncertainty_group,season
2023-01-11,13.96,13.619091760635698,14.260902610817675,15.330443134540952,1.0,13.043212145280268,15.90632274989638,0.1600000000000001,Two-sided ACI,46,0.08,59.0,0.0,1.711351373905254,2.8631106046161126,0.5758796153554293,0.6418108501819777,1.0695405237232762,0.42772967354129854,True,False,False,40–60%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-12,14.13,13.219510846711197,14.2891605792715,14.644446914026291,1.0,12.662821917764203,15.201135842973285,0.1640000000000001,Two-sided ACI,44,0.0,46.0,0.08,1.4249360673150946,2.5383139252090814,0.5566889289469934,1.069649732560304,0.35528633475479054,-0.7143633978055135,True,False,False,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2023-01-13,14.35,14.564573961630124,14.40370986477973,14.98527487017622,1.0,14.05517032797774,15.494678503828606,0.1680000000000001,Two-sided ACI,50,0.0,44.0,0.0,0.4207009085460953,1.4395081758508663,0.5094036336523855,-0.1608640968503945,0.5815650053964898,0.7424291022468843,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-14,14.23,14.106571737851954,14.645260666066603,14.896831380945414,1.0,13.59716810419957,15.4062350145978,0.1720000000000001,Two-sided ACI,56,0.0,50.0,0.0,0.7902596430934601,1.809066910398231,0.5094036336523855,0.5386889282146488,0.25157071487881133,-0.2871182133358374,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-15,13.8,13.44558170769719,14.426289763929883,14.50227506364078,1.0,12.941381556283414,15.006475215054556,0.1760000000000001,Two-sided ACI,47,0.0,56.0,0.0,1.0566933559435903,2.0650936587711417,0.5042001514137757,0.9807080562326931,0.07598529971089718,-0.9047227565217959,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-16,14.35,12.570122943135832,14.142530282636836,15.778563308069604,1.0,12.123012495248076,16.22567375595736,0.1800000000000001,Two-sided ACI,46,0.0,47.0,0.0,3.2084403649337716,4.102661260709283,0.44711044788775567,1.5724073395010034,1.6360330254327682,0.06362568593176476,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-17,14.69,13.159095307883302,14.161144231654813,14.26659223111788,1.0,12.711984859995546,14.713702679005635,0.1840000000000001,Two-sided ACI,39,0.01,46.0,0.0,1.107496923234578,2.0017178190100893,0.44711044788775567,1.0020489237715111,0.10544799946306682,-0.8966009243084443,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-18,14.29,14.201239141778837,14.4588501306247,14.940521612954743,1.0,13.760760967766252,15.380999786967326,0.1880000000000001,Two-sided ACI,35,0.47,39.0,0.01,0.7392824711759065,1.6202388192010737,0.4404781740125836,0.25761098884586353,0.481671482330043,0.22406049348417945,True,False,False,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2023-01-19,14.66,13.380069786292378,14.184455892442138,14.543583408220606,1.0,12.940689850072754,14.982963344440227,0.1920000000000001,Two-sided ACI,35,0.0,35.0,0.47,1.163513621928228,2.042273494367473,0.43937993621962246,0.8043861061497601,0.3591275157784679,-0.44525859037129223,True,False,False,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2023-01-20,14.07,14.679054394495,15.121271212906525,15.640714822506178,1.0,14.255646625612885,16.064122591388298,0.1960000000000001,Two-sided ACI,36,0.0,35.0,0.0,0.9616604280111787,1.808475965775413,0.4234077688821172,0.4422168184115254,0.5194436095996533,0.07722679118812792,False,True,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2023-01-21,14.11,13.295604334113635,14.235662205810586,14.562328992734212,1.0,12.84849388622588,15.009439440621968,0.1800000000000001,Two-sided ACI,35,0.0,36.0,0.0,1.2667246586205767,2.160945554396088,0.44711044788775567,0.9400578716969505,0.32666678692362616,-0.6133910847733244,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-22,14.43,13.194874950196729,14.069827175508973,14.490989036952362,1.0,12.747764502308971,14.938099484840118,0.1840000000000001,Two-sided ACI,39,0.0,35.0,0.0,1.296114086755633,2.1903349825311462,0.44711044788775656,0.8749522253122439,0.4211618614433892,-0.45379036386885474,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-23,14.31,14.0157449954965,14.78647152064832,15.700440913971644,1.0,13.575266821483918,16.140919087984226,0.1880000000000001,Two-sided ACI,34,0.01,39.0,0.0,1.6846959184751444,2.565652266500308,0.4404781740125818,0.7707265251518205,0.9139693933233239,0.14324286817150345,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2023-01-24,14.57,13.380950255250866,14.121596513011182,14.460146860349592,1.0,12.941570319031245,14.899526796569216,0.1920000000000001,Two-sided ACI,39,0.0,34.0,0.01,1.0791966050987263,1.9579564775379712,0.43937993621962246,0.7406462577603161,0.33855034733841016,-0.40209591042190596,True,False,False,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2023-01-25,14.16,14.371972997585498,14.635066574933964,15.254161564414911,1.0,13.95196568091356,15.674168881086848,0.1960000000000001,Two-sided ACI,37,0.0,39.0,0.0,0.8821885668294129,1.722203200173288,0.4200073166719376,0.2630935773484655,0.6190949894809474,0.35600141213248193,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-26,14.35,12.947452120658262,14.338594365958537,14.7230802061124,1.0,12.527444803986326,15.143087522784338,0.2000000000000001,Two-sided ACI,42,0.0,37.0,0.0,1.7756280854541373,2.6156427187980125,0.4200073166719376,1.3911422453002746,0.38448584015386267,-1.006656405146412,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-27,14.46,13.353059450723425,14.27046598019852,14.93980161237612,1.0,13.031859678006745,15.2610013850928,0.2040000000000001,Two-sided ACI,40,0.0,42.0,0.0,1.5867421616526958,2.2291417070860557,0.32119977271668,0.9174065294750946,0.6693356321776012,-0.24807089729749343,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-28,14.24,13.354557366127947,14.490853874364456,14.500815561229286,1.0,13.03380874029294,14.821564187064295,0.2080000000000001,Two-sided ACI,34,0.02,40.0,0.0,1.146258195101339,1.7877554467713548,0.32074862583500785,1.1362965082365086,0.009961686864830455,-1.1263348213716782,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-29,14.65,13.331545926752986,14.16899723716754,14.118385498618055,1.0,13.010797300917975,14.439134124453066,0.2120000000000001,Two-sided ACI,17,0.02,34.0,0.02,0.7868395718650696,1.4283368235350906,0.3207486258350105,0.8374513104145542,-0.05061173854948464,-0.8880630489640389,False,False,True,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2023-01-30,14.61,14.34804621993106,15.040016405243366,15.841712394216971,1.0,13.928038903259123,16.26171971088891,0.1960000000000001,Two-sided ACI,7,0.03,17.0,0.02,1.4936661742859112,2.333680807629788,0.42000731667193847,0.6919701853123055,0.8016959889736057,0.10972580366130025,True,False,False,Coolest 20%,Wet prior day,40–60%,Remaining 90%,Winter
2023-01-31,14.84,13.47577064732764,14.455133455252811,14.593634275721689,1.0,13.055763330655704,15.013641592393626,0.2000000000000001,Two-sided ACI,25,0.0,7.0,0.03,1.1178636283940495,1.9578782617379211,0.4200073166719358,0.9793628079251722,0.13850082046887735,-0.8408619874562948,True,False,False,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2023-02-01,14.91,14.271796865247593,14.928295757843404,16.022026082448402,1.0,13.867052628538362,16.426770319157633,0.2040000000000001,Two-sided ACI,43,0.0,25.0,0.0,1.7502292172008094,2.559717690619271,0.4047442367092309,0.6564988925958115,1.0937303246049979,0.43723143200918635,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2023-02-02,14.48,13.68616040904206,14.810713963753024,15.587368283464295,1.0,13.36496063632538,15.908568056180975,0.2080000000000001,Two-sided ACI,44,0.0,43.0,0.0,1.9012078744222354,2.5436074198555954,0.32119977271668,1.124553554710964,0.7766543197112714,-0.34789923499969255,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2023-02-03,14.31,14.010238011088866,14.829680935511552,15.689567948613965,1.0,13.689038238372186,16.010767721330645,0.2120000000000001,Two-sided ACI,55,0.0,44.0,0.0,1.6793299375250985,2.3217294829584585,0.32119977271668,0.8194429244226864,0.8598870131024121,0.04044408867972571,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2023-02-04,14.07,13.462887887875686,14.35557300782664,15.284264957492807,1.0,13.162145499811093,15.585007345557402,0.2160000000000001,Two-sided ACI,56,0.0,55.0,0.0,1.821377069617121,2.4228618457463096,0.3007423880645943,0.8926851199509542,0.9286919496661667,0.03600682971521252,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2023-02-05,14.47,13.400185913961254,14.395634974665269,15.212445260582095,1.0,13.118102923617323,15.494528250926027,0.2200000000000001,Two-sided ACI,48,0.0,56.0,0.0,1.8122593466208414,2.376425327308704,0.28208299034393125,0.995449060704015,0.8168102859168265,-0.17863877478718848,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2023-02-06,14.16,14.186578129412172,14.846687405557777,16.072978388271885,1.0,13.94021240513386,16.319344112550198,0.2240000000000001,Two-sided ACI,48,0.0,48.0,0.0,1.8864002588597124,2.379131707416338,0.24636572427831283,0.6601092761456044,1.226290982714108,0.5661817065685035,True,False,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2023-02-07,14.21,13.529107056899411,14.351908201992975,15.003187827273214,1.0,13.282741332621102,15.249553551551523,0.2280000000000001,Two-sided ACI,47,0.0,48.0,0.0,1.4740807703738028,1.9668122189304214,0.24636572427830927,0.822801145093564,0.6512796252802389,-0.17152151981332509,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2023-02-08,14.16,14.059166490220232,14.349592440786004,15.237816909247504,1.0,13.84056733828543,15.456416061182304,0.2320000000000001,Two-sided ACI,51,0.0,47.0,0.0,1.1786504190272726,1.6158487228968745,0.21859915193480095,0.2904259505657727,0.8882244684614999,0.5977985178957272,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
