temperature_group,n_observations,coverage_80,average_width_mgd,lower_miss_rate,upper_miss_rate
Coolest 20%,165,0.8181818181818182,2.050687074663713,0.08484848484848485,0.09696969696969697
20–40%,164,0.774390243902439,1.9421277389670728,0.07317073170731707,0.1524390243902439
40–60%,164,0.8414634146341463,2.4231558145005128,0.11585365853658537,0.042682926829268296
60–80%,164,0.7865853658536586,3.682237840227079,0.1402439024390244,0.07317073170731707
Warmest 20%,164,0.8109756097560976,4.308326069374496,0.07926829268292683,0.10975609756097561
