temperature_group,n_observations,mean_lower_spread_mgd,mean_upper_spread_mgd,mean_upper_minus_lower_mgd,median_upper_minus_lower_mgd
Coolest 20%,165,0.8670615198673878,0.7923253870204618,-0.07473613284692587,0.0014484380795920515
20–40%,164,0.8378816969174083,0.8514686388595363,0.013586941942128047,0.0443100320124481
40–60%,164,1.1192030085065146,1.0792721538701302,-0.039930854636384364,-0.011594343693969833
60–80%,164,1.8906196598718983,1.4291549610100656,-0.4614646988618329,-0.31197955358154417
Warmest 20%,164,2.477376884131978,1.5601410091913317,-0.9172358749406461,-0.9013412688986708
