predicted_demand_group,n_observations,median_predicted_demand_mgd,coverage_80,average_width_mgd,lower_miss_rate,upper_miss_rate
Lowest 20%,165,13.385323294537317,0.7818181818181819,1.9746810880536763,0.01818181818181818,0.2
20–40%,164,14.238071697181187,0.8902439024390244,1.8352404247471914,0.07926829268292683,0.03048780487804878
40–60%,164,15.345134852021065,0.8109756097560976,2.231116819135062,0.12195121951219512,0.06707317073170732
60–80%,164,22.659211398742393,0.7560975609756098,3.817817495446073,0.17073170731707318,0.07317073170731707
Highest 20%,164,30.757626148706073,0.7926829268292683,4.548142161488736,0.10365853658536585,0.10365853658536585
