temperature_group,n_observations,mean_prior_day_tmax_f,median_predicted_demand_mgd,mean_raw_qr_width_mgd,mean_aci_width_mgd,mean_aci_correction_mgd,coverage_80,lower_miss_rate,upper_miss_rate
Coolest 20%,165,37.45454545454545,14.16899723716754,1.6593869068878497,2.050687074663713,0.19565008388793173,0.8181818181818182,0.08484848484848485,0.09696969696969697
20–40%,164,52.71951219512195,14.01681906024519,1.6893503357769444,1.9421277389670728,0.12638870159506405,0.774390243902439,0.07317073170731707,0.1524390243902439
40–60%,164,64.6951219512195,14.963798627789565,2.1984751623766448,2.4231558145005128,0.11234032606193414,0.8414634146341463,0.11585365853658537,0.042682926829268296
60–80%,164,77.26219512195122,22.661315872752642,3.3197746208819634,3.682237840227079,0.1812316096725574,0.7865853658536586,0.1402439024390244,0.07317073170731707
Warmest 20%,164,89.1219512195122,30.36166400944057,4.03751789332331,4.308326069374496,0.13540408802559267,0.8109756097560976,0.07926829268292683,0.10975609756097561
