date,prior_day_tmax_f,prior_day_precipitation_in,q50,y_true,raw_qr_width,aci_one_sided_correction,aci_width,covered
2023-09-04,87.0,0.02,25.305194901557517,26.51,6.913883842013263,0.4414058235887559,7.796695489190775,True
2023-07-03,90.0,0.0,28.68178362184971,29.6,5.935182354430104,0.8512142135599561,7.637610781550016,True
2024-06-19,84.0,0.0,34.13787579162978,33.53,7.540851926618448,-0.05729035899091883,7.42627120863661,True
2023-07-04,91.0,0.02,29.23050306050821,24.94,5.597027142120652,0.8512142135599561,7.299455569240564,True
2023-07-16,83.0,0.01,30.221786218194808,29.97,6.159850132308755,0.5651435669081213,7.290137266124997,True
2023-07-14,92.0,0.0,30.886426288445755,31.84,6.047981005613458,0.6090543944949989,7.266089794603456,True
2023-07-07,71.0,0.25,23.826323574870088,23.18,5.419259736174695,0.9023486087425692,7.223956953659833,True
2023-07-05,83.0,0.34,29.026116131047907,22.58,5.743155366130225,0.7170796940525719,7.177314754235368,False
2023-07-15,82.0,0.0,30.64563070810904,30.36,5.988594071483263,0.5651435669081231,7.118881205299509,True
2023-07-13,91.0,0.0,30.04839863796541,30.3,5.716413042013841,0.6592719517386527,7.034956945491146,True
2024-06-10,73.0,0.0,29.52461118981255,30.58,6.915608527073768,-0.04649334027932639,6.822621846515116,True
2023-08-02,83.0,2.45,23.790288076220328,23.26,6.069055881131057,0.2946402909211443,6.658336462973345,True
2023-07-17,88.0,0.0,31.95914084148678,34.1,5.57453895491367,0.5316145013819451,6.637767957677561,True
2023-07-06,62.0,0.24,25.33726402368444,21.59,4.694875451714051,0.9248511342539132,6.544577720221877,True
2023-07-10,80.0,0.43,25.41838749152987,26.14,5.027261251805349,0.7434716234023462,6.514204498610042,True
