uncertainty_group,n_observations,mean_prior_day_tmax_f,median_prior_day_precipitation_in,wet_prior_day_rate,median_predicted_demand_mgd,median_observed_demand_mgd,mean_raw_qr_width_mgd,mean_aci_correction_mgd,mean_final_width_mgd,coverage_80
Remaining 90%,738,62.15718157181572,0.0,0.1978319783197832,14.928780428709693,14.844999999999999,2.2663020035259587,0.13793857134039864,2.5421791462067564,0.7994579945799458
Widest 10%,83,82.5421686746988,0.0,0.46987951807228917,29.23050306050821,28.21,5.36707608507459,0.25980015844022725,5.886676401955045,0.8674698795180723
