component,mean,median,std,minimum,maximum
Raw QR width,2.5797785550101686,2.1567247271748435,1.4215899975903186,0.26949353936602094,7.540851926618448
ACI one-sided correction,0.15025831766108777,0.10418383824783994,0.22023735228862712,-0.2092959560718981,1.088848548777241
Final ACI width,2.880295190332344,2.4401061817958283,1.4464910896404202,0.35470852587870816,7.796695489190775
