"date","total_actual_demand_mgd","total_projected_demand_mgd","actual_projected_demand","total_plant_demand_mgd"
"2020-01-01T00:00:00.000","12.47","12.06","1.033996683250414593698175788","12.77"
"2020-01-02T00:00:00.000","13.24","13.11","1.009916094584286803966437834","14.17"
"2020-01-03T00:00:00.000","13.57","13.53","1.002956393200295639320029564","14.1"
"2020-01-04T00:00:00.000","13.38","13.63","0.9816581071166544387380777696","13.84"
"2020-01-05T00:00:00.000","13.52","13.7","0.9868613138686131386861313869","14.51"
"2020-01-06T00:00:00.000","13.9","13.56","1.025073746312684365781710914","14.62"
"2020-01-07T00:00:00.000","13.89","13.48","1.030415430267062314540059347","14.32"
"2020-01-08T00:00:00.000","13.67","13.51","1.011843079200592153960029608","14.4"
"2020-01-09T00:00:00.000","13.46","13.71","0.9817651349380014587892049599","14.61"
"2020-01-10T00:00:00.000","13.52","13.72","0.9854227405247813411078717201","13.99"
"2020-01-11T00:00:00.000","13.3","13.67","0.9729334308705193855157278713","13.99"
"2020-01-12T00:00:00.000","13.56","13.49","1.005189028910303928836174944","14.32"
"2020-01-13T00:00:00.000","13.54","13.7","0.9883211678832116788321167883","14.04"
"2020-01-14T00:00:00.000","13.55","13.73","0.9868900218499635833940276766","14.17"
"2020-01-15T00:00:00.000","13.39","13.74","0.9745269286754002911208151383","14.07"
"2020-01-16T00:00:00.000","13.76","13.86","0.9927849927849927849927849928","14.26"
"2020-01-17T00:00:00.000","13.74","13.82","0.9942112879884225759768451520","14.39"
"2020-01-18T00:00:00.000","13.46","14.04","0.9586894586894586894586894587","14.16"
"2020-01-19T00:00:00.000","13.82","13.97","0.9892627057981388690050107373","14.2"
"2020-01-20T00:00:00.000","14.58","14.1","1.034042553191489361702127660","15.54"
"2020-01-21T00:00:00.000","13.23","14.15","0.9349823321554770318021201413","14.78"
"2020-01-22T00:00:00.000","14.27","14.12","1.010623229461756373937677054","14.63"
"2020-01-23T00:00:00.000","14.06","14.15","0.9936395759717314487632508834","14.69"
"2020-01-24T00:00:00.000","14.21","14.16","1.003531073446327683615819209","14.96"
"2020-01-25T00:00:00.000","14.29","14.25","1.002807017543859649122807018","14.92"
"2020-01-26T00:00:00.000","14.44","14.18","1.018335684062059238363892807","14.78"
"2020-01-27T00:00:00.000","14.37","14.2","1.011971830985915492957746479","15.23"
"2020-01-28T00:00:00.000","14.42","14.09","1.023420865862313697657913414","14.98"
"2020-01-29T00:00:00.000","14.04","14.33","0.9797627355198883461270062805","14.51"
"2020-01-30T00:00:00.000","14.16","14.11","1.003543586109142452161587527","15.17"
"2020-01-31T00:00:00.000","14.01","14.04","0.9978632478632478632478632479","14.87"
"2020-02-01T00:00:00.000","14.13","14.53","0.9724707501720578114246386786","14.92"
"2020-02-02T00:00:00.000","14.58","14.34","1.016736401673640167364016736","15.62"
"2020-02-03T00:00:00.000","13.67","14.5","0.9427586206896551724137931034","14.81"
"2020-02-04T00:00:00.000","14","14.22","0.9845288326300984528832630098","16.08"
"2020-02-05T00:00:00.000","14.07","14.54","0.9676753782668500687757909216","7.01"
"2020-02-06T00:00:00.000","15.85","14.51","1.092350103376981392143349414","13.25"
"2020-02-07T00:00:00.000","13.26","14.52","0.9132231404958677685950413223","14.93"
"2020-02-08T00:00:00.000","13.65","14.66","0.9311050477489768076398362892","17.75"
"2020-02-09T00:00:00.000","13.97","14.81","0.9432815665091154625253207292","17.94"
"2020-02-10T00:00:00.000","14.58","14.58","1","18.35"
"2020-02-11T00:00:00.000","14.34","14.57","0.9842141386410432395332875772","15.03"
"2020-02-12T00:00:00.000","14.18","14.47","0.9799585348997926744989633725","15.19"
"2020-02-13T00:00:00.000","14.25","14.62","0.9746922024623803009575923393","14.96"
"2020-02-14T00:00:00.000","14.54","14.61","0.9952087611225188227241615332","14.92"
"2020-02-15T00:00:00.000","13.81","14.55","0.9491408934707903780068728522","14.83"
"2020-02-16T00:00:00.000","14.23","14.6","0.9746575342465753424657534247","15.06"
"2020-02-17T00:00:00.000","14.51","14.59","0.9945167923235092529129540781","15.17"
"2020-02-18T00:00:00.000","14.59","14.43","1.011088011088011088011088011","15.52"
"2020-02-19T00:00:00.000","14.18","14.36","0.9874651810584958217270194986","15.44"
"2020-02-20T00:00:00.000","14.81","14.41","1.027758501040943789035392089","15.56"
"2020-02-21T00:00:00.000","14.55","14.42","1.009015256588072122052704577","15.8"
"2020-02-22T00:00:00.000","14.37","14.48","0.9924033149171270718232044199","15.58"
"2020-02-23T00:00:00.000","14.51","14.34","1.011854951185495118549511855","15.45"
